"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"40",6,"Rachaad White",WAS,"7","36","47","40.1","2.7","+2"
"41",6,"Aaron Jones Sr.",MIN,"6","33","48","40.7","3.5","+2"
"42",6,"Chris Rodriguez Jr.",JAC,"7","32","51","42.5","4.0","+2"
"43",6,"Woody Marks",HOU,"8","38","51","44.0","3.0","+2"
"44",6,"Tyler Allgeier",ARI,"14","41","57","45.3","4.0","+3"
"45",6,"Josh Jacobs",GB,"11","16","75","45.5","11.8","-19"
"46",6,"Tyjae Spears",TEN,"9","40","57","47.6","4.6","+9"
"47",6,"Keaton Mitchell",LAC,"7","40","61","48.9","4.2","+9"
"48",6,"Zach Charbonnet",SEA,"11","41","58","49.3","4.0","+1"
"49",6,"Mike Washington Jr.",LV,"13","40","62","49.7","5.3","-8"
"50",6,"Dylan Sampson",CLE,"11","43","60","49.9","3.8","+11"
"51",6,"Jonah Coleman",DEN,"10","42","68","48.6","5.7","-5"
"52",7,"Brian Robinson Jr.",ATL,"11","45","58","53.1","3.7","-4"
"53",7,"Tank Bigsby",PHI,"10","46","61","53.6","4.1","-3"
"54",7,"Alvin Kamara",NO,"8","40","71","55.4","7.2","-3"
"55",7,"Tyrone Tracy Jr.",NYG,"8","41","73","55.6","8.2","-3"
"56",7,"Braelon Allen",NYJ,"13","41","71","55.6","6.0","+2"
"57",7,"Emmett Johnson",KC,"5","47","79","55.9","6.4","-3"
"58",7,"Ray Davis",BUF,"7","52","69","59.5","4.5","-1"
"59",7,"Isiah Pacheco",DET,"6","49","95","62.0","10.9","0"
"60",7,"Kimani Vidal",LAC,"7","52","83","62.3","5.7","+5"
"61",7,"Sean Tucker",TB,"10","61","81","65.9","6.0","+8"
"62",7,"Kaelon Black",SF,"8","49","97","64.3","10.2","-9"
"63",7,"Nicholas Singleton",TEN,"9","55","85","65.0","7.1","+1"
"64",7,"Najee Harris",NYG,"8","56","88","67.6","7.5","+9"
