"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"155",10,"Dohnte Meyers",CIN,"6","95","177","142.6","27.8","-"
"156",11,"Greg Dortch",BUF,"7","137","193","163.5","19.5","-"
"157",11,"Tim Patrick",NYJ,"13","118","176","149.4","18.6","-"
"158",11,"Josh Cameron",JAC,"7","134","161","151.2","9.1","-"
"159",11,"Jalen Brooks",ARI,"14","127","171","152.8","17.8","-"
"160",11,"Chris Brazzell II",CAR,"5","119","245","153.2","47.5","-"
"161",11,"Tay Martin",DET,"6","142","167","154.6","10.6","-"
"162",11,"Elijah Moore",PHI,"10","148","165","154.8","5.7","-"
"163",11,"Jordan Watkins",SF,"8","150","207","171.0","18.3","-"
"164",11,"Jonathan Mingo",DAL,"14","144","161","156.8","6.5","-"
"165",11,"Darius Cooper",PHI,"10","147","218","173.0","21.7","-"
"166",11,"Derius Davis",LAC,"7","158","186","173.0","11.6","-"
"167",11,"Efton Chism III",NE,"11","156","168","160.8","4.3","-"
"168",11,"Brycen Tremayne",CAR,"5","116","200","161.6","27.5","-"
"169",11,"Bo Melton",GB,"11","145","170","163.2","9.2","-"
"170",11,"Lil'Jordan Humphrey",DEN,"10","127","203","164.2","24.8","-"
"171",11,"Kaden Wetjen",PIT,"9","149","184","164.2","11.9","-"
"172",11,"Skyy Moore",GB,"11","155","170","165.4","5.6","-"
"173",11,"J. Michael Sturdivant",GB,"11","159","178","166.4","7.7","-"
"174",11,"Laquon Treadwell",IND,"13","157","175","167.4","5.8","-"
"175",11,"Arian Smith",NYJ,"13","164","180","167.6","6.3","-"
"176",11,"Devin Duvernay",ARI,"14","171","195","181.8","9.1","-"
"177",11,"Montorie Foster Jr.",SEA,"11","160","180","171.4","6.6","-"
"178",11,"Jared Wayne",HOU,"8","163","178","172.4","5.2","-"
"179",11,"Dareke Young",LV,"13","148","186","173.4","13.4","-"
"180",11,"Camden Brown",DAL,"14","147","191","173.6","15.7","-"
"181",11,"Isaiah Williams",FA,"0","81","155","127.0","32.8","-"
"182",11,"Malachi Corley",CLE,"11","160","184","175.4","8.6","-"
"183",11,"Tyrell Shavers",BUF,"7","154","188","175.8","11.9","-"
"184",11,"Ben Skowronek",PIT,"9","157","197","176.6","13.2","-"
"185",11,"Kameron Johnson",TB,"10","163","205","180.0","13.9","-"
"186",11,"David Sills V",TB,"10","151","224","180.4","24.5","-"
