"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"125",7,"Woody Marks",HOU,"RB43","108","148","127.7","9.1","+8"
"126",7,"Juwan Johnson",NO,"TE14","105","155","129.2","12.6","+5"
"127",7,"Jake Ferguson",DAL,"TE15","110","157","129.4","11.4","-7"
"128",7,"Mark Andrews",BAL,"TE16","96","170","129.4","16.1","-3"
"129",7,"Romeo Doubs",NE,"WR52","100","169","131.7","14.7","+14"
"130",7,"Tyler Shough",NO,"QB19","103","190","130.8","17.7","+32"
"131",7,"Baker Mayfield",TB,"QB20","118","173","130.8","13.0","+13"
"132",7,"Tyler Allgeier",ARI,"RB44","116","162","131.3","10.7","+4"
"133",7,"Khalil Shakir",BUF,"WR53","116","149","133.7","8.9","+27"
"134",7,"Deebo Samuel Sr.",SF,"WR54","109","169","135.9","16.9","+1"
"135",7,"Josh Jacobs",GB,"RB45","57","288","136.0","50.3","-83"
"136",7,"Jalen Coker",CAR,"WR55","108","163","130.0","12.9","+30"
"137",7,"Malik Willis",MIA,"QB21","112","236","137.0","21.0","+17"
"138",7,"Tyjae Spears",TEN,"RB46","116","177","134.6","12.8","+25"
"139",7,"Keaton Mitchell",LAC,"RB47","115","163","139.0","11.8","+23"
"140",8,"Rashid Shaheed",SEA,"WR56","121","164","143.4","10.3","+6"
"141",8,"Denzel Boston",CLE,"WR57","130","272","157.1","25.7","+30"
"142",8,"Zach Charbonnet",SEA,"RB48","117","175","143.9","12.6","+10"
"143",8,"Mike Washington Jr.",LV,"RB49","106","205","148.0","20.6","-24"
"144",8,"Dylan Sampson",CLE,"RB50","123","181","145.3","14.1","+64"
"145",8,"Sam Darnold",SEA,"QB22","127","213","150.4","18.0","+4"
"146",8,"Jonah Coleman",DEN,"RB51","115","181","139.0","16.7","+2"
"147",8,"Brian Robinson Jr.",ATL,"RB52","133","222","158.9","14.9","-9"
"148",8,"C.J. Stroud",HOU,"QB23","135","209","153.6","15.7","+24"
"149",8,"Brenton Strange",JAC,"TE17","111","195","153.6","17.4","+24"
"150",8,"Hunter Henry",NE,"TE18","136","202","155.8","17.1","+1"
"151",8,"Jordyn Tyson",NO,"WR58","107","204","143.4","21.8","-23"
"152",8,"Tre Tucker",LV,"WR59","122","222","158.5","20.8","+14"
"153",8,"Tank Bigsby",PHI,"RB53","129","198","152.2","14.0","+8"
"154",8,"Daniel Jones",IND,"QB24","128","241","159.7","26.7","+28"
"155",8,"Chig Okonkwo",WAS,"TE19","138","225","166.0","20.5","+14"
"156",8,"Dalton Schultz",HOU,"TE20","135","204","166.0","18.7","+24"
"157",8,"Alvin Kamara",NO,"RB54","117","247","169.4","30.4","-4"
"158",8,"Cam Ward",TEN,"QB25","138","241","169.6","22.3","+20"
"159",8,"Kayshon Boutte",HOU,"WR60","132","206","169.7","20.4","-9"
"160",8,"Tyrone Tracy Jr.",NYG,"RB55","129","300","170.3","38.1","-2"
"161",8,"Houston Texans",HOU,"DST1","142","193","156.2","12.0","-51"
"162",8,"Braelon Allen",NYJ,"RB56","130","258","171.4","29.9","+5"
"163",8,"Adonai Mitchell",NYJ,"WR61","144","223","171.7","19.3","+69"
"164",8,"Jerry Jeudy",CLE,"WR62","141","231","175.4","20.9","+62"
"165",8,"Jalen McMillan",TB,"WR63","137","300","178.2","32.6","+60"
"166",8,"Los Angeles Rams",LAR,"DST2","143","197","164.7","10.6","-64"
"167",8,"Dontayvion Wicks",PHI,"WR64","155","280","187.4","27.0","+32"
"168",8,"Emmett Johnson",KC,"RB57","132","221","166.1","23.7","-12"
"169",8,"Seattle Seahawks",SEA,"DST3","149","196","168.5","10.2","-44"
"170",8,"Denver Broncos",DEN,"DST4","149","210","168.2","13.7","-42"
"171",8,"Jauan Jennings",MIN,"WR65","114","226","179.2","21.7","+64"
"172",8,"Ray Davis",BUF,"RB58","151","247","185.7","28.1","+3"
"173",8,"Ryan Flournoy",DAL,"WR66","158","271","185.2","24.2","+76"
"174",8,"Tre' Harris",LAC,"WR67","150","269","186.6","26.1","+60"
"175",8,"Bryce Young",CAR,"QB26","146","251","188.8","26.1","+2"
"176",8,"Terrance Ferguson",LAR,"TE21","122","279","190.1","36.7","0"
"177",8,"Keenan Allen",IND,"WR68","132","283","193.4","40.1","-13"
"178",8,"Philadelphia Eagles",PHI,"DST5","166","211","177.3","12.0","-40"
"179",8,"Omar Cooper Jr.",NYJ,"WR69","160","226","184.7","17.5","+28"
"180",8,"Isiah Pacheco",DET,"RB59","140","296","186.6","40.3","0"
"181",9,"Pat Bryant",DEN,"WR70","161","231","190.7","18.5","+61"
"182",9,"AJ Barner",SEA,"TE22","152","244","195.9","21.2","+14"
"183",9,"Kimani Vidal",LAC,"RB60","155","287","192.2","31.7","+57"
"184",9,"Jalen Nailor",LV,"WR71","141","301","191.3","34.7","-8"
"185",9,"New England Patriots",NE,"DST6","171","269","187.7","18.0","-11"
"186",9,"Malik Washington",MIA,"WR72","148","295","201.1","36.6","+28"
"187",9,"Pittsburgh Steelers",PIT,"DST7","180","235","190.8","12.2","+3"
"188",9,"Minnesota Vikings",MIN,"DST8","171","254","189.7","18.3","-3"
"189",9,"Jacksonville Jaguars",JAC,"DST9","171","255","190.5","15.5","-2"
"190",9,"Calvin Ridley",TEN,"WR73","163","294","210.1","28.9","+47"
"191",9,"T.J. Hockenson",MIN,"TE23","154","249","192.4","22.0","-21"
"192",9,"Baltimore Ravens",BAL,"DST10","183","324","207.3","26.8","-11"
"193",9,"Jaylin Noel",HOU,"WR74","167","263","205.4","20.6","+112"
"194",9,"Rashod Bateman",BAL,"WR75","197","272","228.6","21.8","+110"
"195",9,"Kenyon Sadiq",NYJ,"TE24","153","277","214.6","29.9","-16"
"196",9,"Sean Tucker",TB,"RB61","164","270","203.5","28.0","+58"
"197",9,"Kaelon Black",SF,"RB62","140","309","206.7","41.2","-53"
"198",9,"Nicholas Singleton",TEN,"RB63","159","287","203.4","30.4","+38"
"199",9,"Los Angeles Chargers",LAC,"DST11","180","256","194.7","16.7","-2"
"200",9,"Kansas City Chiefs",KC,"DST12","181","290","209.7","25.0","+15"
"201",9,"Brandon Aubrey",DAL,"K1","138","209","183.1","13.5","-85"
"202",9,"Najee Harris",NYG,"RB64","158","283","218.7","36.4","+64"
"203",9,"Gunnar Helm",TEN,"TE25","181","267","224.6","21.8","+49"
"204",9,"Ja'Kobi Lane",BAL,"WR76","137","311","205.3","41.4","-60"
"205",9,"Malik Davis",DAL,"RB65","151","307","220.2","48.4","+43"
"206",9,"Cooper Kupp",SEA,"WR77","198","284","233.5","23.5","-14"
"207",9,"Kaytron Allen",WAS,"RB66","166","285","216.6","24.1","+39"
"208",9,"Travis Hunter",JAC,"WR78","144","298","200.3","36.0","+45"
"209",9,"Ka'imi Fairbairn",HOU,"K2","168","216","192.3","8.9","-75"
"210",9,"Jaylen Wright",MIA,"RB67","171","270","226.2","23.1","+39"
"211",9,"James Conner",ARI,"RB68","156","310","239.3","32.0","-31"
"212",9,"Darnell Mooney",NYG,"WR79","192","284","235.0","21.1","+91"
"213",9,"Cameron Dicker",LAC,"K3","171","226","194.1","10.1","-71"
"214",9,"Chris Bell",MIA,"WR80","161","329","233.0","38.1","-5"
"215",9,"Germie Bernard",PIT,"WR81","213","302","240.0","21.2","+29"
"216",9,"Pat Freiermuth",PIT,"TE26","185","264","227.1","21.7","-33"
"217",9,"Zachariah Branch",ATL,"WR82","190","295","233.8","29.7","+28"
"218",9,"Cam Little",JAC,"K4","169","237","199.6","12.3","-54"
"219",9,"Jacoby Brissett",ARI,"QB27","152","347","228.0","40.0","+16"
"220",9,"Jason Myers",SEA,"K5","174","238","201.6","11.0","-75"
"221",9,"Justice Hill",BAL,"RB69","155","299","231.3","41.6","0"
